	id_business	id_review	text	rating
0	8kck3-K4zYKTJbJko0JlXQ	SCOEb5MOdoo4OdKQKPzhbw	"I hardly leave reviews. However, this was one of the best meals I've ever had in my life!
My bestfriend and I remained speechless after we had our first..."	5
1	8kck3-K4zYKTJbJko0JlXQ	SuZnbaD-AcLm-zNGsIxRuQ	This place is incredible! It might not be the most authentic Thai food (according to my friends from Thailand) but it definitely is delicious. I recommend...	5
2	8kck3-K4zYKTJbJko0JlXQ	ztLk7kjvAPGrbL54tYnMSw	"saw this on check please  (channel 9) and wanted to check it out..  they mentioned they had insects for you to try...  

got there at 5:30 with a..."	4
3	ttarnopezxmp2ROB1N2PaA	VZmpfX51FgtQlhL2tlS76A	"My brother and I were in attendance here about a month ago (in between Phish shows...)

We had a 7-pm rezzy, had phenomenal service from..."	5
4	ttarnopezxmp2ROB1N2PaA	h7M80Ajg7WS1d7ZSk9e1yQ	"Nopa exceeded my expectations!

AMBIANCE: I thought the ambiance was great. The restaurant has high ceilings and an open kitchen at the back, so it feels..."	4
5	ttarnopezxmp2ROB1N2PaA	hYST59V-Iaym_JsKpNh_UQ	Get here early or make a reservation! We arrived around 5:20 (it opens at 5:30 on the weekend) and were one of the first few parties in line. The line got...	4
6	HHtpR0RslupSQ99GIIwW5A	rWeVXwvqrWzMSCCi-KJaSg	Marufuku Ramen has become one of my favorite ramen spots in the city. The service is great, the seating isn't too bad thanks to their waitlist system and...	5
7	HHtpR0RslupSQ99GIIwW5A	UbNT5MKIqm5oBeRSSpfE2Q	"It's my first time trying this place. And I heard it's supposed to be good and famous. 

Yes, I guess it's popular because I saw a lot of people eating..."	3
8	HHtpR0RslupSQ99GIIwW5A	AtdY41KaDGr22Pwiaf3dnw	"The restaurant looks small but it fits about 18 tables that can seat 2-3 people. 

We ordered 2 cups of hot tea. The tea was good. There was an an actual..."	4
9	XhJ6ZYagcWNHpJ1H1KvNlQ	CfX5sn7xWi1ZF2AS5NkXSQ	Summer squash and bianca pizzas were delicious but could use a touch more flavor. We also had the cauliflower starter which was remarkable and had a nice...	4
10	XhJ6ZYagcWNHpJ1H1KvNlQ	QjvSWAN-AnFfFiAOpUHh9w	Love a Mano! Everything I've tried here has been a hit. Their fried chicken is literally the best in the city, and their pizza always hits the spot. I've...	5
11	XhJ6ZYagcWNHpJ1H1KvNlQ	yz7lG-zyJogS2b9FwKEJUg	We stopped by for a weeknight dinner and appreciated the great service and wonderful ambiance.  a Mano was one of the busier spots and one can definitely...	4
12	_hOVIgjVRl_HzvLaa65KJg	p96rrgxsddOlWmmwJ-Jd4w	I've walked by this spot hella times and finally got to try it this past week. Peeping the menu, it's got what I look for in any bar, burgers and craft...	4
13	_hOVIgjVRl_HzvLaa65KJg	jWQtjZTAv53diqJoPEhUFw	They seem pretty understaffed. It vibes like a classy bar/restaurant, but you order off QR codes and no one checks in to see if you have what you need. That...	3
14	_hOVIgjVRl_HzvLaa65KJg	pHwUcnXpFfQjdiDcKZpLNQ	Been here a few times over the pandemic and unfortunately it doesn't seem like it's been too kind to them. Sad to see what used to be the #1 happy hour spot...	2
15	MaaySW1ejpwQCkr9jn1glA	FF_epuoXiZ3gsvqFqhvu5w	We arrived at the time of our reservation and were seated immediately.  Wait staff was very friendly, knowledgeable, attentive.  The figs, liver pate, and...	4
16	MaaySW1ejpwQCkr9jn1glA	6yMaQ-BcgwHtsA_xBuM08Q	Truly great. Everything on the menu is spectacular. The focaccia is probably the best in the city. The duck liver pâté crostini and the pork and veal pasta...	5
